제목,감성
"강력한 투자요인이었던 면세점 실적 성장이 둔화되고, 전문점이나 백화점 등 내수 유통채널의 저성장 기조가 뚜렷해지면서 4Q16 국내 매출 성장은 7.1%YoY로 연중 가장 낮은 성장률을 기록할 것으로 전망된다.",NEGATIVE
"하지만 나이키 수주물량이 한세실업 전체 수주량의 한자릿수 비중으로 크지 않은 편이며, 일본, 유럽 바이어들의 물량 증가로 나이키 수주 공백을 대체해 나갈 수 있을 것으로 기대해본다.",NEUTRAL
"하나금융투자의 계산에 의하면, 2017년 고무 투입가격이 15% 상승하면 영업이익률에 -2.4%p만큼 부정적 기여를 할 것으로 예상한다(물량/판가/기타비용 동일 조건). 즉, 상반기에는 투입단가 상승에 따른 수익성 둔화, 그리고 하반기에는 판가 인상을 통한 일부 회복을 전망한다.",NEUTRAL
"출점 둔화(매장수 YoY +4%)에도 불구, 신규 브랜드 더캐시미어와 래트바이티가 각각 론칭 3년 차, 2년 차에 접어들며 외형과 수익성 개선에 기여할 것으로 예상한다.",POSITIVE
"페이코 사업의 부진은 사측의 경쟁력 열위 문제가 아니라 시장의 구조적 문제, 즉, 간편결제 시장의 발전 및 개화속도의 문제라 물적분할만으로 쉽게 해결할 수 있는 부분은 아니라 판단한다.",NEGATIVE
"발전 수주 전망은 긍정적이나 자회사발 우려감 지속에 발전분야 매출 성장 전망도 기대치 아래: 자회사인 두산건설과 두산인프라코어의 4Q16 세전이익은 각각 -2,206억원과 -1,767억원으로 어닝쇼크의 주요 요인이었다.",NEGATIVE
YG플러스 의 적자 중 약 90%를 차지하는 화장품 사업부가 사드 영향 과 대표이사 교체 등으로 턴어라운드에 다소 시일이 걸릴 것으로 판단해 2017년 예상 영업이익을 -42억원으로 하향(기존 -4억원)했기 때문이다.,NEGATIVE
"이러한 부정적 인식에 묻혀 펀더멘탈 개선은 간과되었는데, 특히 자체사업 실적의 사실상 100%를 차지하는 그린 케미칼 사업부는 ‘15년 영업익 227억원에서 ‘17년 영업익 680억원으로 누적 200% 증가가 추정되며 SK가스는 올해도 사상 최대 영업익 경신이 예상된다.",POSITIVE
"아모레퍼시픽의 국내 매출이 낮은 한자릿수 내에서 역신장 할 것으로 전망하며, 이익 기여가 높았던 면세점 채널의 성장 부진으로 국내 영업이익 개선도 어려울 수 있다.",NEGATIVE
이니스프리도 출점 계획이 작년보다는 축소될 것으로 보이며 중국인 수요 감소로 기존점 효율이 다소 낮아질 가능성을 염두하여 실적 기대치를 소폭 낮출 필요가 있다고 판단된다.,NEGATIVE
내수 부진을 해외에서 채워가다: 아모레퍼시픽과 이니스프리를 포함하여 아모스프로페셔널까지 중국인 수요가 비교적 많았던 브랜드 위주로 올해 실적에 대해 불확실성을 안고 갈 수 밖에 없는 상황이다.,NEGATIVE
"자동차부품 부문은 완성차의 중국 출하가 부진하면서 현대위아의 엔진부품 수출도 감소하고, 수동 변속기 매출의 관계사 이관도 이어졌다.",NEGATIVE
"미국 공장은 Fleet 판매 자제와 모델 노후화로 21% (YoY) 감소하고, 중국 공장은 딜러와의 분쟁과 반한 감정에 따른 매장 집객력 약화 등으로 45% (YoY) 감소했다.",NEGATIVE
"매출 부진을 보였던 스마트빌딩과 M&E부문이 각각 17.4%, 22.1%의 매출 성장을 기록할 것으로 예상되고, 스마트홈부문은 17.1%로 올해 역시 두 자리 수 성장을 이어갈 전망이다.",POSITIVE
에너지 솔루션 부문은 미국 태양광 발전소 매각 수익이 예상보다 적었던 가운데 미국태양광 모듈 업체의 실적 부진 등으로 예상보다 적은 영업이익을 기록하였다.,NEGATIVE
"전년 이천공장 화재에 기인한 낮은 베이스로 제과 매출은 YoY +0.8% 증가했으나, 중국 법인 매출 하락에 기인한 로열티 매출이 YoY 17억원 감소했기 때문이다.",NEGATIVE
"은산분리 이슈가 논란이 되고있는 가운데 동사의 자회사인 카카오뱅크에 대한 부담은 존재하나, 카카오톡은 이미 내년까지 버틸수 있는 자금 여력을 마련해 놓고 점진적으로 사업을 진행해 나갈 예정이다.",NEUTRAL
"해외사업 역시 영업이익이 YoY 40% 이상 감소할 것으로 예상되는데, 중국 법인 매출 저하(YoY 5% 추정)와 미국 법인 라네즈 타겟 철수 등의 영향 때문이다.",NEGATIVE
"인터플렉스, 영풍전자와 같은 영풍의 IT 자회사의 경우에도 2017년 3분기부터 본격적으로 애플향 R/F PCB 납품을 개시하며 실적이 큰 폭으로 개선될 것으로 예상된다.",POSITIVE
"결국 현대위아 주가의 핵심은 여전히 고전을 면치 못하고 있는 중국향 CKD 사업부의 회복 여부에 달려있는데, 일단 3Q17까지도 불확실한 상황이 지속될 것으로 보인다.",NEGATIVE
결국 SKT가 정부에 고통 분담을 요구함과 동시에 이젠 사소한 M/S 경쟁에서 탈피해 유통 구조 개선을 통한 수익성 개선에 나서겠다는 것을 선포한 것인데 적정한 대정부 압박 요인이 될 전망이다.,NEUTRAL
"2분기 실적은 완성차의 중국 출하 부진에 따른 엔진부품 수출의 감소와 멕시코/서산 공장의 적자, 그리고 기계 부문의 부진 지속 등으로 기대치를 하회할 것이다.",NEGATIVE
"모든 사업부의 마케팅비용이 증가하면서 예상보다 비용 부담이 커졌지만, H&A(Home Appliance & Air Solution)사업부는 에어컨 제품의 호조로 여전히 10% 가까운 영업이익률이 기대되고, HE(Home Entertainment)사업부는 OLED TV와 UHD TV 위주 판매로 높은 수준의 영업이익률이 유지되고 있다.",POSITIVE
"NAVER는 상반기에만 제록스리서치센터유럽, 미래에셋대우 등을 포함해 10건의 투자를 진행하며 공격적인 투자 행보를 보여주고 있다.",NEUTRAL
"하지만 연결 실적의 경우 현대차그룹의 해외 자동차판매량 둔화에 따른 현대제철의 해외 SSC(스틸서비스센터)의 수익성 악화로 전년동기대비 9.9% 감소한 3,894억원의 영입이익에 그칠 전망이다.",NEGATIVE
"영업이익은 특히 모듈부문이 전년 동기에 기록했던 4,292억원에서 1,810억원으로 크게 감소할 것으로 추정되는데, 이는 현대모비스 중국사업 대부분의 매출이 집중되어있는 현대기아차의 중국법인 부진이 주요 원인으로 추정된다.",NEGATIVE
"올해 1분기 이후 주요 점포들의 개선이 이루어졌음에도 불구하고, 경쟁사의 신규 출점 영향이 지속되고 있는 대구점과 리뉴얼이 이루어지고 있는 천호점의 부진으로 전체 성장률은 둔화되어 보일 것으로 예상한다.",NEGATIVE
"2Q17 순이익 1,532억원 추정BNK금융의 2Q17 (지배지분) 순이익은 1,532억원(+0.5% YoY, -9.0% QoQ)으로 에프앤가이드 컨센서스 1,563억원과 유사하고, 블룸버그 컨센서스 1,605억원을 4.6% 하회할 전망이다.",NEUTRAL
"3개 사업부의 영업이익률이 모두 하락한 것으로 추정되는데 차량부문에서는 전반적인 개발비 상승, 북미 인센티브 경쟁 심화, 리콜비용 부담이 있었고, 금융부문은 중고차 잔존가치 하락에 따른 부담이 지속되었고, 기타부문도 현대로템 등의 수주공백기 실적 반영 등의 영향 때문으로 추정된다.",NEUTRAL
"에뛰드 또한 올해 2분기 매출액은 전년동기대비 30.6% 감소한 586억원을 기록했고, 영업이익은적자 전환했다(영업적자 5억원). 주요 화장품 브랜드 법인들이 부진함에 따라 생산 자회사들의 실적도 개선되지 못했다.",NEGATIVE
"특히 정유부문 재고평가손실(-1,700억원)과 래깅효과(-962억원)가 발생했으며, 정유/화학사업에서 울산 #5CDU와 #1RFCC, 화학 #1PX 등 주요 설비 정기보수에 따른 기회비용(-500억원) 또한 실적 하락의 주요인이었던 것으로 파악된다.",NEGATIVE
"영업이익중 자동차 부품부문이 전년 동기대비로 49% 가량 감소하며 약 380억원을 기록했는데, 현대기아차의 중국사업 부진에 따른 CKD매출 감소가 주요 원인인 것으로 판단된다.",NEGATIVE
"2Q17 현대기아차의 지역별 출고판매중 가장 부진한 중국지역이 YoY -62%를 기록했는데, 이의 연장선상에서 현대모비스의 모듈부문은 YoY -19%를 기록했고, 영업이익 역시 모듈사업은 838억원으로 감소하며 YoY -80.5%의 급감세를 시현하였다.",NEGATIVE
"즉, 단기적으로는 밸류에이션 부담이 높은(혹은 면세점 매각이 힘든) 하나투어의 주가는 결국 모두투어와 연동되는 흐름이 될 것이고, 18년 면세점 매각을 가정하더라도 이익 가시성이 더 높은 모두투어와 비슷한 수준(P/E 17배)이다.",NEUTRAL
결론적으로는 하나금융투자는 모두투어를 선호하나 결국 밸류에이션이냐 혹은 베타를 높일 것이냐에 대한 고민일 뿐 현 구간에서는 어떤 여행주를 사도 크게 다르지 않을 것이라 판단한다.,NEUTRAL
"반면 지난 분기에 이어 원당과 대두 투입원가 상승의 영향으로 소재부문의 수익성이 악화됐고, 가공식품에서 광고선전비 등 전략성 경비가 늘면서 실적에 부담으로 작용했다.",NEGATIVE
"정부가 초과세수 전액을 쓸 수 있는 것은 아니며, 초과세수의 약 40%인 7조6000억원은 지방자치단체에 내줘야 한다.",NEUTRAL
친체로 신공항 건설 사업은 2019년 한국과 페루 양 국가 간 전폭적인 지원으로 성사됐다.,NEUTRAL
"페루는 기존 마추픽추 관문 역할을 해온 노후화된 벨라스코 아스테테 공항을 대신할 중남미 허브 공항을 40년 동안 염원했고, 한국은 친체로 신공항 사업을 국내 기업의 해외공항 건설 기술력을 전 세계에 각인시켜 국제적인 건설 수주 경쟁력을 높일 수 있는 주요 무대로 삼았다.",POSITIVE
테크메이커는 박정호 부회장과 팀 회트게스 도이치텔레콤 회장이 SK텔레콤의 5G 기술과 도이치텔레콤의 사업 경쟁력을 기반으로 글로벌 기술 사업을 추진하는데 의기투합해 지난해 12월 설립한 기술 합작사다.,POSITIVE
도이치텔레콤은 뮌헨을 주도로 하는 동남부의 바이에른 주를 시작으로 테크메이커가 개발한 실내 5G 중계기 판매에 돌입했다.,POSITIVE
고객 필요에 따라 무상으로도 공급할 예정이다.‘실내 5G 중계기(Indoor Booster 5G)’테크메이커는 SK텔레콤과 도이치텔레콤의 최신 5G 기술을 융합해 중계기를 개발하는데 성공했다.,POSITIVE
"하인환 KB증권 연구원은 ""신규 지수 도입 이후 자금 유입 가능성을 봐야 하는데 연기금, 투신 등의 매수를 기대할 수 있다""면서 ""새로운 지수의 도입은 결국 코스닥 내 대형주 중심으로 구성될 가능성이 높다는 뜻""이라고 설명했다.",NEUTRAL
"하 연구원은 ""전환사채 발행의 대부분을 차지하는 바이오와 IT 업종의 리스크 해소에 주목하며, 자금조달 리스크가 덜한 대형주를 선호한다""고 말했다.",POSITIVE
"산업부는 과업 지시서에서 ""현재 해외 의존도가 높은 이차전지 원자재 및 소재·부품에 대한 공급망 현황을 조사하고 향후 수급 리스크에 대한 대응 방안을 마련할 필요가 있다""며 ""전기차·전기선박 등 이차전지 수요시장별 시장 규모와 성장률을 분석하고, 국내 이차전지 산업에 필요한 원자재 및 소재·부품의 수급체계를 조사해달라""고 밝혔다.",NEUTRAL
"산업부는 ""중국은 세계에서 유일하게 배터리 원자재 채굴부터 가공, 셀·모듈·팩 제조까지 모든 가치사슬을 보유하고 있다""며 ""중국발(發) 수출규제가 발생하면 글로벌 이차전지 후방산업이 영향을 받는다""고 진단했다.",NEUTRAL
"현재 남해화학은 요소를 수입한 뒤 이를 토대로 비료를 생산하고 있으며, 삼성정밀화학의 후신인 롯데정밀화학은 수입 요소로 요소수를 생산하고 있다.",NEUTRAL
"지난 8월 말 오픈한 아마존 글로벌 스토어에서 판매 순위가 높았던 제품과 그간 블랙프라이데이 세일에서 인기가 높았던 제품군을 선정해 5만여개 아마존 인기상품을 준비, 최대 50% 할인한다. 11번가 해외직구 카테고리 내 550만개 인기 상품까지 더했다.",NEUTRAL
"11번가 내 입점한 아이허브, 오플닷컴, 비타트라 등 글로벌 제휴몰과의 연계 할인도 진행한다.",NEUTRAL
"아이허브, 오플닷컴 영양제 등을 최대 70%까지 할인하며 그 외 CP컴퍼니 맨투맨 등 의류, 명품 브랜드 패션잡화, LG 75인치 TV, 어그 양털 슬리퍼, 일리 커피머신 등 직구 인기 아이템들을 할인가에 만날 수 있다.",NEUTRAL
"1분기에 금호산업이 보유했던 대한통운 주식을 계열사인 아시아나 항공에 매각하면서 투자자산처분이익이 발생했는데, 내부거래이익 386억원을 제거하는 과정에서 지분법손실이 발생했다.",NEUTRAL
"또한 SK지주회사 전환에 따른 SK C&C 지분 매각이 08.4Q에 이루어질 경우 매도가능증권 처분이익이 약 5,000억원대로 예상되어 현금배당 금액(추정 DPS 9,500원)이 상승(약 3,000원 수준)할 수 있음",NEUTRAL
그러나 금호산업(지분법관련 손실)과 금호타이어(외환관련 손실)으로부터 계상되는 일시적인 지분법평가손(-190억원) 반영으로 동사의 세전이익은 크게 감소하였다.,NEGATIVE
이는 (1)금호리조트 매각에 따른 유가증권처분익 174억 계상 (2)100%지분을 보유하고 있는 아시아나공항개발의 강남고속버스터미널 지분 5%매각에 따른 매각이익 200억원이 지분법이익으로 반영되었기 때문이다.,NEUTRAL
선박엔진의 주 수요처인 STX엔진의 Shaft 발주가 STX 조선의 선박 건조 증가와 함께 증가할 것이며 중국 등 풍력발전기 설치가 많은 지역에서 1.5~2.5MW 용량의 Main Shaft 발주가 늘어나고 있기 때문이다.,POSITIVE
KTF와의 합병 기대감으로 주가 움직일 전망 KT는 KTF와의 합병 기대감이 커지고 있는 상황임.,POSITIVE
"2009년부터 WCDMA 가입자가 크게 감소하며 마케팅 비용이 줄어들고, 투자 감소로 감가상각비가 줄어들며 본격적인 실적 개선이 진행될 전망 ▶ 실적보다 KT와의 합병 기대감으로 주가 움직일 전망 KTF는 KT와의 합병 기대감이 커지고 있는 상황임.",POSITIVE
"롯데쇼핑의 영업외부문에서는 롯데카드 지분법이익이 증가했고(비자카드 IPO 이익 반영), 대형마트 3개점포에 대해 Sales & Leaseback를 실시하면서 유형자산처분이익이 발생, 기존 추정치를 상회했다.",POSITIVE
"은행의 마진 하락 외에도 대투증권의 온라인 수수료 인하(업계 최저 0.015%), 신용카드 모집인 제도 도입 등 고객 확보를 위한 비용 증가가 당분간 불가피하다는 점에서 하나금융지주의 수익성이 좀처럼 개선되기는 어려울 전망이다.",NEGATIVE
"삼성테크윈의 본격적인 실적 개선은 하반기부터 1) 파워 사업부와 특수 사업부가 안정적인 캐쉬 카우 역할을 지속하고, 2) CCTV 사업은 최근 범죄와 테러 위험이 증가하면서 은행, 군용 등에서 가정, 학교, 자동차 등으로 수요가 급증하고 있다.",POSITIVE
"백화점 부문은 명품 소비의 증가와 소득 양극화의 심화로 인해 견조한 성장을 기대한다. 1분기 총매출액 2.7조원, 영업이익 2,052억원, 컨센서스 충족 롯데쇼핑의 1분기 총액매출과 영업이익은 각각 2.7조원(전년동기비 +11.2%)과 2,052억원(전년동기비 +11.8%)을 기록했다.",POSITIVE
"영업이익은 컨센서스를 3%정도 상회했는데, 영업이익률이 3.9%대로 높아진 할인점 부문과 롯데슈퍼가 급성정한 기타 사업부문이 이익 증가에 대한 기여도가 컸다.",POSITIVE
"2분기 이후 반도체 부문의 턴어라운드가 가시화됨에 따라, 하반기에는 주력 부문 모두 균형적 이익을 창출하는 포트폴리오 효과를 본격화할 전망이다.",POSITIVE
영업외부문에서는 한무쇼핑 실적 호전으로 지분법이익이 예상보다 증가하며 당사 추정치를 상회한 것으로 나타났다.,POSITIVE
현대산업개발은 자체사업을 제외한 공종의 매출 성장으로 인해 대신증권 1분기 추정치 및 시장 컨센서스를 상회하는 매출액을 시현한 반면 일회성 비용 등이 반영되면서 원가율이 상승하여 수익성은 저하되었다.,NEUTRAL
"케미칼 부문의 영업이익은 78.9% 증가한 195억원, 전자재료 부문의 영업이익은 355.9% 증가한 155억원, 패션 부문의 영업이익은 30.2% 증가한 207억원이었음. ▶",POSITIVE
"케미칼과 전자재료 부문이 돋보인 실적 국제유가가 전년동기대비 68% 상승하였음에도 케미칼 이익이 전년동기대비 증가하였는데, 케미칼의 가격 전가 능력을 다시 한번 확인하였다고 판단됨. 디스플레이 등 전방산업의 호조에 따른 수요 강세가 지속되어 전자재료의 영업이익이 증가하였음.",POSITIVE
"고가브랜드인 빈폴, FUBU 및 여성복 매출 성장세로 인해 패션부문의 영업이익이 30.2% 증가하였음.",POSITIVE
의약품부문의 성장 및 제품의 구조조정에 의한 정밀화학부문과 동물의약품 부문의 수익성 개선도 긍정적인 요소임.,POSITIVE
시장이 하나로텔레콤에 기대했던 SK텔레콤과의 시너지 효과는 초고속인터넷과 이동전화를 결합한 결합 상품을 6월에 출시하며 본격적으로 발생할 전망임.,POSITIVE
전자재료 부문의 실적 개선이 본격화되는 가운데 LCD 부품단가 인상이라는 예상밖의 호재로 제일모직의 추가 상승 가능성은 높아 보인다.,POSITIVE
또한 삼성정밀화학은 폴리실리콘 정제기술을 보유하고 있는 Tokuyama와 1995년부터 반도체 현상액 공장을 합작운영하고 있음.,NEUTRAL
포스코 등 철강업계의 강판가격 인상으로 인한 현대모비스의 신차모듈 마진 압박도 제한적이다.,NEUTRAL
"첫째, Valuation 측면에서 현대차 목표주가 88,000원을 산정할 때 적용한 2008년 PER 13.0배에서 20% 할인한 PER 10.4배를 현대모비스에 적용한 것이다.",NEUTRAL
"견실한 화장품 부문에 힘입은 안정적인 1분기 실적 아모레퍼시픽의 2008년 1분기 매출과 영업이익은 전년동기 대비 7.4%와 2.7% 성장하여 3,907억원과 1,005억원을 기록하였다.",POSITIVE
"대한해운의 세전이익이 부진한 이유는 1) 환율 상승에 따른 외환환산손실 400억원, 2) 단기매매 증권(STX, 한진해운) 평가손실이 158억원 발생했기 때문이다.",NEGATIVE
"에폭시, 수처리용 복합관 등 신규 사업이 본궤도에 진입하고 환율 효과에 따라 산업자재 등의 실적이 더욱 좋아질 것으로 기대되기 때문이다.",POSITIVE
태국 DTAC의 RBT 매출이 전년동기 대비 18% 증가한 45억원을 기록하며 유엔젤의 성장을 이끌었다.,POSITIVE
지속적인 구조조정으로 실적 Turn-Around 가속화 SKC와 코오롱은 4월 30일 폴리이미드 필름 합작사 설립을 발표하였다.,POSITIVE
SKC와 코오롱은 신규 설립되는 합작사(가칭 글로엠㈜)를 통해 과거 고전해왔던 적자사업을 분리시켜 세계 3위 생산규모를 갖추고 수익성 향상을 꾀할 예정이다.,POSITIVE
"그럼에도 불구하고 대한항공에 대한 투자의견을 유지하는 이유는 (1)우리나라 항공산업의 성장성은 여전히 유효하다고 판단되며 (2)하반기 북경올림픽 특수 및 VWP시행, FTA로 인한 한미 노선의 수요 증가가 예상되고 (3)수익성 악화를 보전하기 위해 3분기 중 공시요금 인상을 통한 판매요금 인상이 전망되기 때문이다.",POSITIVE
"항공운송사업부는 국제선 매출이 RPK가 2.1%(yoy)증가하고 Yield가 9.1%(원화기준,yoy)상승한데 힘입어 10.1%증가한 1.2조원을 기록하였으며, 화물은 RTK가 2.0%증가(yoy)하고 Yield가 무려 16.2%(원화기준,yoy)상승하여 매출액이 17.8%증가하였다.",POSITIVE
"모회사 및 통합한전의 매출액과 영업이익은 당사의 예상에 부합하였으나, 순이익은 당사 기대치를 상회하였다.",POSITIVE
"당기순이익이 예상을 상회한 이유는 지분법이익 및 원/달러환율 상승에 따른 파생상품이익증가(한전 +503억, 자회사 +2,200억)등의 영향으로 기타 영업외 수익이 1,497억원 증가하였기 때문이다.",POSITIVE
최근의 주가 상승은 전기요금 인상과 원료비 연동제에 대한 기대감의 반영일 뿐 최근 일주일간 한국전력의 주가는 기관의 매수세가 유입되며 KOSPI대비 8.8% 초과 상승을 시현하고 있다.,NEUTRAL
"지난해 3분기부터 예상치를 크게 하회했던 영업실적은 향후 E&P 사업에 대한 기대감도 낮추게 하면서 LG상사 주가가 07년 하반기 고점 36,900원에서 금년초 14,700원까지 하락한 주요인으로 작용했다.",NEGATIVE
"하반기로 갈수록 실질 영업이익 증가폭이확대될 수 있어 LG상사 기업가치 산정에 있어 영업부문 가치 추정을 상향했기 때문이며, 지금부터는 지난해 하반기와 반대로 실적 개선폭 확대와 함께 E&P 사업에 대한 기대감도 높아질 수 있기 때문이다.",POSITIVE
"2007년말 중공업 수주잔고는 1조 2천 억원으로 1분기 신규 수주액 4,100억원을 기록하는 등 수주증가가 지속되고 있어 동 부문이 2008년 효성의 주수익원 역할을 담당할 것으로 전망된다.",POSITIVE
"효성의 투자포인트는 1) 중공업 부문의 수주 호조로 인한 매출액과 영업이익 증가, 2) 환율 효과로 인한 산업자재 부문의 실적 턴어라운드, 3) 스판덱스 시황의 호조로 인한 섬유부문 실적개선 지속 등이다.",POSITIVE
"상승중인 원재료 가격 및 동력비 증가는 수익성 추가 향상에 부담으로 작용 효성의 산업자재, 화학 및 섬유부문의 주요 원재료인 PTA 및 카프로락탐은 2008년초 이후 각각 9.2%, 3.5%의 상승세를 기록하였다.",NEGATIVE
"두산의 순이익 적자는 지분법이익에 큰 영향을 주는 두산중공업이 지분법 평가 손실(358억원), 환차손(428억원) 등으로 387억원의 적자를 냈기 때문이다.",NEGATIVE
"1) ‘지식In’ 등 새로운 트래픽을 창출하는 신규서비스 등장이 지연되었고, 2) Naver의 시장점유율 상승도 제한되는 상황이기 때문이다.",NEGATIVE
반도체 장비용 피팅 사업 부문의 분리로 매출 성장률이 낮은 것처럼 보여진다. 하지만 반도체 장비용 피팅 사업은 태광의 100% 자회사로서 지분법평가이익으로 반영되어 EPS증가율 비교는 정상 참작이 가능하다.,NEUTRAL
"1Q는 굴삭기에 의한 영업실적 크게 개선, 2Q는 공작기계, 굴삭기의 쌍끌이 효과 기대 두산인프라코어의 1분기 영업실적은 매출액이 전년 동기 대비 18.8% 증가한 10,823억원, 영업이익은 62.9% 증가한 1,299억원, 순이익은 13.5% 증가한 598억원으로 예상된다.",POSITIVE
"2008년 2분기 중으로 프린터 부품(전사벨트) 및 디스플레이 필름(반사시트용 필름)의 일부 초도 물량이 공급될 것으로 분석되며, 당사가 추정한 신제품군의 매출(123억원)을 상회할 가능성이 높다고 판단된다.",POSITIVE
네패스는 반도체 후공정 전문 업체로 주요 사업은 반도체와 Chemical 부문으로 나누어진다.,NEUTRAL
"반도체부문은 가동율에 따 른 수익성 변화가 일어나는 업체로 LDI(LCD용 Driver IC), CIS(휴대폰용 카메라 모듈 센서), RF/DMB Chip (휴대폰 또 는 네트워크 반도체) 등 다양한 반도체의 후공정을 진행하고 있다.",NEUTRAL
"상장 이후 SSCP의 기술력과 고객 대응력의 도약, 글로벌 전자 업체로의 매출 다각화, 전자재료 부문으로의 성공적 진출 등을 고려할 때 현 주가는 실적 악화를 이미 반영한 수준으로 판단된다.",POSITIVE
"소재식품에서 가격인상에 의한 매출(이익) 증가, 제약사업의 호조, 판관비의 적절한 통제 때문이다.",POSITIVE
"08년 매출액 40%, 영업이익 10배 이상 증가 전망 대주전자재료는 08년 기존 사업 부문의 뚜렷한 턴어라운드가 기대된다.",POSITIVE
삼성전기의 MLCC 부문 실적 개선과 대만 칩부품 시장의 확대로 도전성 페이스트의 매출액도 빠르게 증가하고 있다.,POSITIVE
이중 PDP용 전극재료와 형광체 재료는 최종 테스트 단계에 있어 하반기부터 매출 발생이 가능해 보인다.,POSITIVE
"2008년 2분기를 기대하자 원/달러 환율이 변수가 되고 있으나, GS홀딩스의 2008년 2분기 매출액은 1,223억원, 순이익은 1,024억원이 될 것으로 전망됨. 이렇게 2008년 1분기대비 이익이 큰 폭으로 상승 반전할 것으로 예상되는 이유는 주요 자회사인 GS칼텍스의 이익이 고도화시설 및 화학부문 증설로 증가할 것으로 예상되기 때문임.",POSITIVE
"케이아이씨의 순이익이 크게 증가한 이유는 자회사 삼양감속기의 지분법 평가이익이 크게 증가하였고, 신한이엔씨의 지분법 평가이익이 새롭게 반영되었기 때문이다.",POSITIVE
플랜트 전문 기업으로 도약 → 합병 시너지 증가 기대 케이아이씨는 신한이엔씨와의 합병으로 플랜트 전문 기업으로 거듭날 것이다.,POSITIVE
자산관리영업의 성장세 둔화되었으나 향후 회복 기대 삼성증권은 업계에서 가장 먼저 자산관리영업을 강화함에 따라 주식을 제외한 자산관리만으로도 지점의 고정비가 충당될 수 있는 안정적인 수익구조의 확보로 이어졌다.,POSITIVE
그런데 삼성증권의 고객예탁자산이 2분기 연속 소폭 감소되는 모습을 보이고 있어 지난해 말부터 진행되어온 삼성그룹 관련 차명계좌 사태가 삼성증권이 집중하고 있는 고액고객(자산 1억원 이상보유 개인고객)의 신규유입 둔화에 영향을 주고 있는 것으로 추정된다.,NEGATIVE
